Time difference of 28.21059 mins
[1] "==============="
Self-Organizing Map 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  xdim  ydim  xweight  Accuracy  Kappa  Accuracy SD  Kappa SD
   1    10    0.900    0.842     0.684  0.0380       0.0759  
   1    11    0.500    0.834     0.669  0.0344       0.0689  
   1    11    0.536    0.831     0.662  0.0416       0.0837  
   1    11    0.573    0.843     0.686  0.0282       0.0566  
   1    11    0.609    0.849     0.698  0.0416       0.0833  
   1    11    0.645    0.834     0.668  0.0492       0.0985  
   1    11    0.682    0.843     0.686  0.0403       0.0807  
   1    11    0.718    0.829     0.659  0.0483       0.0968  
   1    11    0.755    0.844     0.689  0.0420       0.0841  
   1    11    0.791    0.835     0.670  0.0383       0.0765  
   1    11    0.827    0.852     0.704  0.0503       0.1006  
   1    11    0.864    0.848     0.695  0.0484       0.0969  
   1    11    0.900    0.832     0.664  0.0392       0.0788  
   1    12    0.500    0.848     0.696  0.0367       0.0736  
   1    12    0.536    0.840     0.680  0.0496       0.0992  
   1    12    0.573    0.841     0.683  0.0440       0.0878  
   1    12    0.609    0.838     0.675  0.0428       0.0859  
   1    12    0.645    0.836     0.673  0.0339       0.0679  
   1    12    0.682    0.845     0.690  0.0400       0.0798  
   1    12    0.718    0.843     0.687  0.0422       0.0843  
   1    12    0.755    0.842     0.685  0.0343       0.0688  
   1    12    0.791    0.839     0.679  0.0401       0.0805  
   1    12    0.827    0.847     0.694  0.0426       0.0854  
   1    12    0.864    0.839     0.679  0.0346       0.0692  
   1    12    0.900    0.833     0.665  0.0450       0.0899  
   1    13    0.500    0.835     0.670  0.0422       0.0844  
   1    13    0.536    0.842     0.684  0.0345       0.0692  
   1    13    0.573    0.846     0.691  0.0307       0.0613  
   1    13    0.609    0.836     0.672  0.0383       0.0768  
   1    13    0.645    0.836     0.671  0.0427       0.0852  
   1    13    0.682    0.839     0.679  0.0414       0.0831  
   1    13    0.718    0.839     0.678  0.0364       0.0729  
   1    13    0.755    0.838     0.677  0.0362       0.0725  
   1    13    0.791    0.833     0.666  0.0360       0.0720  
   1    13    0.827    0.841     0.682  0.0381       0.0764  
   1    13    0.864    0.831     0.663  0.0314       0.0629  
   1    13    0.900    0.853     0.706  0.0330       0.0659  
   2     2    0.500    0.807     0.614  0.0484       0.0965  
   2     2    0.536    0.810     0.621  0.0539       0.1072  
   2     2    0.573    0.790     0.580  0.0632       0.1251  
   2     2    0.609    0.805     0.610  0.0499       0.0989  
   2     2    0.645    0.808     0.616  0.0394       0.0780  
   2     2    0.682    0.810     0.620  0.0513       0.1022  
   2     2    0.718    0.824     0.649  0.0420       0.0840  
   2     2    0.755    0.801     0.602  0.0521       0.1030  
   2     2    0.791    0.814     0.628  0.0661       0.1312  
   2     2    0.827    0.813     0.625  0.0585       0.1166  
   2     2    0.864    0.804     0.607  0.0532       0.1065  
   2     2    0.900    0.798     0.597  0.0490       0.0974  
   2     3    0.500    0.848     0.695  0.0416       0.0831  
   2     3    0.536    0.834     0.668  0.0284       0.0572  
   2     3    0.573    0.855     0.709  0.0369       0.0735  
   2     3    0.609    0.845     0.690  0.0426       0.0852  
   2     3    0.645    0.838     0.675  0.0363       0.0730  
   2     3    0.682    0.846     0.693  0.0397       0.0789  
   2     3    0.718    0.838     0.677  0.0331       0.0658  
   2     3    0.755    0.841     0.682  0.0421       0.0839  
   2     3    0.791    0.842     0.684  0.0395       0.0789  
   2     3    0.827    0.845     0.690  0.0516       0.1030  
   2     3    0.864    0.854     0.708  0.0429       0.0857  
   2     3    0.900    0.848     0.696  0.0322       0.0639  
   2     4    0.500    0.849     0.699  0.0285       0.0574  
   2     4    0.536    0.844     0.689  0.0356       0.0710  
   2     4    0.573    0.856     0.713  0.0468       0.0936  
   2     4    0.609    0.856     0.713  0.0394       0.0789  
   2     4    0.645    0.833     0.667  0.0545       0.1092  
   2     4    0.682    0.850     0.700  0.0421       0.0843  
   2     4    0.718    0.857     0.714  0.0366       0.0730  
   2     4    0.755    0.858     0.716  0.0411       0.0823  
   2     4    0.791    0.847     0.694  0.0453       0.0906  
   2     4    0.827    0.849     0.699  0.0328       0.0656  
   2     4    0.864    0.853     0.707  0.0311       0.0622  
   2     4    0.900    0.849     0.698  0.0313       0.0624  
   2     5    0.500    0.849     0.698  0.0358       0.0717  
   2     5    0.536    0.842     0.684  0.0391       0.0785  
   2     5    0.573    0.834     0.667  0.0495       0.0993  
   2     5    0.609    0.844     0.688  0.0447       0.0894  
   2     5    0.645    0.841     0.681  0.0531       0.1063  
   2     5    0.682    0.836     0.672  0.0421       0.0844  
   2     5    0.718    0.848     0.695  0.0388       0.0778  
   2     5    0.755    0.841     0.681  0.0391       0.0786  
   2     5    0.791    0.848     0.695  0.0429       0.0858  
   2     5    0.827    0.840     0.680  0.0396       0.0795  
   2     5    0.864    0.853     0.705  0.0350       0.0700  
   2     5    0.900    0.840     0.680  0.0419       0.0839  
   2     6    0.500    0.834     0.668  0.0278       0.0555  
   2     6    0.536    0.841     0.683  0.0498       0.0995  
   2     6    0.573    0.845     0.689  0.0377       0.0753  
   2     6    0.609    0.840     0.679  0.0404       0.0806  
   2     6    0.645    0.833     0.666  0.0363       0.0726  
   2     6    0.682    0.836     0.673  0.0384       0.0769  
   2     6    0.718    0.840     0.680  0.0455       0.0911  
   2     6    0.755    0.838     0.677  0.0446       0.0891  
   2     6    0.791    0.842     0.684  0.0345       0.0689  
   2     6    0.827    0.836     0.673  0.0311       0.0624  
   2     6    0.864    0.845     0.689  0.0434       0.0868  
   2     6    0.900    0.828     0.655  0.0355       0.0710  
   2     7    0.500    0.849     0.698  0.0482       0.0965  
   2     7    0.536    0.834     0.669  0.0445       0.0893  
   2     7    0.573    0.843     0.686  0.0432       0.0863  
   2     7    0.609    0.836     0.671  0.0296       0.0592  
   2     7    0.645    0.844     0.688  0.0337       0.0672  
   2     7    0.682    0.841     0.683  0.0369       0.0736  
   2     7    0.718    0.845     0.690  0.0356       0.0713  
   2     7    0.755    0.837     0.674  0.0340       0.0680  
   2     7    0.791    0.851     0.701  0.0396       0.0793  
   2     7    0.827    0.843     0.686  0.0328       0.0660  
   2     7    0.864    0.834     0.667  0.0498       0.0998  
   2     7    0.900    0.823     0.645  0.0371       0.0742  
   2     8    0.500    0.834     0.668  0.0458       0.0918  
   2     8    0.536    0.839     0.678  0.0394       0.0788  
   2     8    0.573    0.839     0.677  0.0434       0.0870  
   2     8    0.609    0.849     0.699  0.0428       0.0858  
   2     8    0.645    0.835     0.669  0.0426       0.0854  
   2     8    0.682    0.839     0.678  0.0455       0.0908  
   2     8    0.718    0.827     0.654  0.0368       0.0736  
   2     8    0.755    0.839     0.679  0.0409       0.0821  
   2     8    0.791    0.826     0.653  0.0296       0.0596  
   2     8    0.827    0.838     0.675  0.0393       0.0786  
   2     8    0.864    0.826     0.653  0.0328       0.0657  
   2     8    0.900    0.834     0.668  0.0336       0.0672  
