Time difference of 28.21059 mins
[1] "==============="
Self-Organizing Map 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  xdim  ydim  xweight  Accuracy  Kappa  Accuracy SD  Kappa SD
   4     7    0.609    0.833     0.665  0.0330       0.0661  
   4     7    0.645    0.834     0.668  0.0324       0.0650  
   4     7    0.682    0.836     0.671  0.0436       0.0872  
   4     7    0.718    0.827     0.654  0.0375       0.0752  
   4     7    0.755    0.836     0.671  0.0456       0.0914  
   4     7    0.791    0.833     0.665  0.0312       0.0626  
   4     7    0.827    0.828     0.655  0.0292       0.0590  
   4     7    0.864    0.836     0.671  0.0365       0.0727  
   4     7    0.900    0.823     0.646  0.0419       0.0837  
   4     8    0.500    0.819     0.639  0.0323       0.0646  
   4     8    0.536    0.840     0.680  0.0326       0.0651  
   4     8    0.573    0.820     0.640  0.0350       0.0703  
   4     8    0.609    0.831     0.661  0.0403       0.0806  
   4     8    0.645    0.834     0.667  0.0283       0.0570  
   4     8    0.682    0.833     0.666  0.0339       0.0681  
   4     8    0.718    0.828     0.656  0.0323       0.0649  
   4     8    0.755    0.823     0.645  0.0340       0.0680  
   4     8    0.791    0.823     0.645  0.0403       0.0807  
   4     8    0.827    0.819     0.639  0.0323       0.0645  
   4     8    0.864    0.833     0.665  0.0289       0.0578  
   4     8    0.900    0.825     0.650  0.0418       0.0835  
   4     9    0.500    0.823     0.645  0.0341       0.0680  
   4     9    0.536    0.820     0.640  0.0363       0.0723  
   4     9    0.573    0.827     0.655  0.0431       0.0866  
   4     9    0.609    0.839     0.678  0.0354       0.0707  
   4     9    0.645    0.836     0.671  0.0269       0.0541  
   4     9    0.682    0.826     0.651  0.0441       0.0879  
   4     9    0.718    0.828     0.655  0.0463       0.0930  
   4     9    0.755    0.821     0.642  0.0440       0.0881  
   4     9    0.791    0.821     0.642  0.0423       0.0849  
   4     9    0.827    0.834     0.667  0.0375       0.0752  
   4     9    0.864    0.817     0.634  0.0510       0.1022  
   4     9    0.900    0.836     0.671  0.0360       0.0721  
   4    10    0.500    0.819     0.639  0.0365       0.0725  
   4    10    0.536    0.828     0.656  0.0274       0.0550  
   4    10    0.573    0.803     0.606  0.0344       0.0688  
   4    10    0.609    0.816     0.632  0.0395       0.0788  
   4    10    0.645    0.831     0.661  0.0304       0.0609  
   4    10    0.682    0.832     0.665  0.0355       0.0715  
   4    10    0.718    0.823     0.645  0.0371       0.0745  
   4    10    0.755    0.818     0.636  0.0475       0.0949  
   4    10    0.791    0.821     0.641  0.0413       0.0826  
   4    10    0.827    0.819     0.638  0.0387       0.0772  
   4    10    0.864    0.823     0.645  0.0394       0.0790  
   4    10    0.900    0.821     0.641  0.0326       0.0652  
   4    11    0.500    0.816     0.632  0.0566       0.1136  
   4    11    0.536    0.814     0.629  0.0389       0.0780  
   4    11    0.573    0.823     0.646  0.0490       0.0988  
   4    11    0.609    0.806     0.612  0.0526       0.1055  
   4    11    0.645    0.826     0.652  0.0561       0.1123  
   4    11    0.682    0.819     0.638  0.0524       0.1052  
   4    11    0.718    0.830     0.660  0.0326       0.0656  
   4    11    0.755    0.811     0.621  0.0360       0.0719  
   4    11    0.791    0.826     0.652  0.0373       0.0747  
   4    11    0.827    0.811     0.621  0.0415       0.0831  
   4    11    0.864    0.814     0.629  0.0407       0.0815  
   4    11    0.900    0.819     0.638  0.0485       0.0973  
   4    12    0.500    0.820     0.640  0.0385       0.0771  
   4    12    0.536    0.823     0.646  0.0453       0.0907  
   4    12    0.573    0.825     0.650  0.0451       0.0904  
   4    12    0.609    0.821     0.643  0.0452       0.0904  
   4    12    0.645    0.834     0.667  0.0285       0.0568  
   4    12    0.682    0.818     0.635  0.0360       0.0723  
   4    12    0.718    0.823     0.645  0.0401       0.0804  
   4    12    0.755    0.826     0.651  0.0286       0.0573  
   4    12    0.791    0.822     0.643  0.0368       0.0736  
   4    12    0.827    0.819     0.639  0.0404       0.0811  
   4    12    0.864    0.824     0.648  0.0332       0.0662  
   4    12    0.900    0.815     0.630  0.0477       0.0954  
   4    13    0.500    0.811     0.622  0.0319       0.0640  
   4    13    0.536    0.834     0.667  0.0443       0.0884  
   4    13    0.573    0.823     0.646  0.0397       0.0798  
   4    13    0.609    0.818     0.636  0.0428       0.0859  
   4    13    0.645    0.818     0.635  0.0482       0.0965  
   4    13    0.682    0.821     0.641  0.0345       0.0695  
   4    13    0.718    0.832     0.664  0.0390       0.0782  
   4    13    0.755    0.816     0.631  0.0489       0.0977  
   4    13    0.791    0.816     0.633  0.0367       0.0734  
   4    13    0.827    0.819     0.637  0.0352       0.0704  
   4    13    0.864    0.816     0.631  0.0333       0.0669  
   4    13    0.900    0.828     0.656  0.0471       0.0946  
   5     5    0.500    0.836     0.673  0.0381       0.0764  
   5     5    0.536    0.840     0.680  0.0411       0.0821  
   5     5    0.573    0.825     0.650  0.0389       0.0775  
   5     5    0.609    0.832     0.664  0.0428       0.0858  
   5     5    0.645    0.830     0.660  0.0370       0.0742  
   5     5    0.682    0.833     0.666  0.0448       0.0897  
   5     5    0.718    0.833     0.665  0.0371       0.0743  
   5     5    0.755    0.826     0.652  0.0300       0.0598  
   5     5    0.791    0.834     0.667  0.0330       0.0663  
   5     5    0.827    0.841     0.683  0.0398       0.0796  
   5     5    0.864    0.828     0.656  0.0419       0.0841  
   5     5    0.900    0.838     0.675  0.0445       0.0891  
   5     6    0.500    0.826     0.653  0.0496       0.0990  
   5     6    0.536    0.838     0.675  0.0457       0.0912  
   5     6    0.573    0.817     0.634  0.0381       0.0765  
   5     6    0.609    0.828     0.656  0.0446       0.0890  
   5     6    0.645    0.831     0.663  0.0363       0.0725  
   5     6    0.682    0.837     0.673  0.0208       0.0419  
   5     6    0.718    0.832     0.664  0.0507       0.1016  
   5     6    0.755    0.829     0.657  0.0492       0.0982  
   5     6    0.791    0.834     0.669  0.0418       0.0834  
   5     6    0.827    0.830     0.660  0.0397       0.0794  
   5     6    0.864    0.829     0.657  0.0366       0.0737  
   5     6    0.900    0.836     0.672  0.0351       0.0701  
   5     7    0.500    0.821     0.642  0.0382       0.0766  
   5     7    0.536    0.827     0.655  0.0453       0.0905  
   5     7    0.573    0.838     0.675  0.0451       0.0903  
   5     7    0.609    0.839     0.677  0.0374       0.0747  
   5     7    0.645    0.841     0.681  0.0380       0.0760  
   5     7    0.682    0.817     0.635  0.0389       0.0777  
   5     7    0.718    0.823     0.645  0.0410       0.0822  
   5     7    0.755    0.825     0.650  0.0427       0.0853  
   5     7    0.791    0.822     0.644  0.0503       0.1004  
   5     7    0.827    0.825     0.650  0.0303       0.0612  
   5     7    0.864    0.826     0.652  0.0370       0.0741  
   5     7    0.900    0.815     0.630  0.0396       0.0789  
   5     8    0.500    0.844     0.687  0.0331       0.0663  
   5     8    0.536    0.824     0.647  0.0428       0.0854  
   5     8    0.573    0.829     0.658  0.0459       0.0918  
   5     8    0.609    0.823     0.646  0.0397       0.0791  
   5     8    0.645    0.822     0.644  0.0431       0.0865  
   5     8    0.682    0.812     0.624  0.0384       0.0767  
   5     8    0.718    0.821     0.641  0.0370       0.0743  
   5     8    0.755    0.838     0.676  0.0386       0.0772  
   5     8    0.791    0.838     0.676  0.0501       0.1002  
   5     8    0.827    0.835     0.670  0.0344       0.0687  
   5     8    0.864    0.818     0.635  0.0343       0.0687  
   5     8    0.900    0.822     0.643  0.0392       0.0785  
   5     9    0.500    0.814     0.628  0.0410       0.0826  
   5     9    0.536    0.815     0.629  0.0500       0.1001  
   5     9    0.573    0.834     0.668  0.0316       0.0636  
   5     9    0.609    0.831     0.662  0.0347       0.0693  
   5     9    0.645    0.809     0.617  0.0458       0.0919  
   5     9    0.682    0.814     0.627  0.0386       0.0773  
   5     9    0.718    0.834     0.667  0.0464       0.0929  
   5     9    0.755    0.834     0.667  0.0574       0.1149  
   5     9    0.791    0.823     0.646  0.0436       0.0872  
   5     9    0.827    0.814     0.628  0.0382       0.0768  
   5     9    0.864    0.812     0.624  0.0369       0.0735  
   5     9    0.900    0.833     0.665  0.0418       0.0834  
   5    10    0.500    0.829     0.659  0.0497       0.0996  
   5    10    0.536    0.828     0.656  0.0267       0.0538  
   5    10    0.573    0.818     0.635  0.0417       0.0835  
   5    10    0.609    0.808     0.616  0.0360       0.0726  
   5    10    0.645    0.818     0.635  0.0343       0.0689  
   5    10    0.682    0.812     0.623  0.0464       0.0931  
   5    10    0.718    0.818     0.635  0.0381       0.0763  
   5    10    0.755    0.816     0.631  0.0456       0.0916  
   5    10    0.791    0.828     0.656  0.0317       0.0637  
   5    10    0.827    0.801     0.602  0.0501       0.1002  
   5    10    0.864    0.824     0.648  0.0376       0.0754  
   5    10    0.900    0.813     0.625  0.0524       0.1052  
   5    11    0.500    0.809     0.618  0.0336       0.0679  
   5    11    0.536    0.816     0.631  0.0455       0.0909  
   5    11    0.573    0.804     0.608  0.0373       0.0751  
   5    11    0.609    0.819     0.638  0.0394       0.0790  
   5    11    0.645    0.829     0.659  0.0383       0.0768  
   5    11    0.682    0.811     0.621  0.0454       0.0910  
   5    11    0.718    0.805     0.610  0.0527       0.1056  
   5    11    0.755    0.830     0.660  0.0491       0.0983  
   5    11    0.791    0.823     0.645  0.0493       0.0990  
   5    11    0.827    0.824     0.647  0.0490       0.0983  
   5    11    0.864    0.826     0.651  0.0369       0.0742  
   5    11    0.900    0.822     0.643  0.0523       0.1046  
   5    12    0.500    0.814     0.627  0.0439       0.0882  
   5    12    0.536    0.809     0.617  0.0323       0.0651  
   5    12    0.573    0.828     0.655  0.0492       0.0984  
   5    12    0.609    0.811     0.622  0.0303       0.0605  
   5    12    0.645    0.823     0.645  0.0493       0.0988  
   5    12    0.682    0.824     0.647  0.0334       0.0669  
   5    12    0.718    0.804     0.607  0.0597       0.1193  
   5    12    0.755    0.807     0.613  0.0413       0.0829  
   5    12    0.791    0.826     0.651  0.0491       0.0980  
   5    12    0.827    0.811     0.622  0.0447       0.0900  
   5    12    0.864    0.807     0.615  0.0394       0.0789  
   5    12    0.900    0.824     0.647  0.0505       0.1012  
   5    13    0.500    0.823     0.645  0.0451       0.0901  
   5    13    0.536    0.813     0.626  0.0379       0.0759  
   5    13    0.573    0.809     0.617  0.0427       0.0854  
   5    13    0.609    0.825     0.650  0.0419       0.0836  
   5    13    0.645    0.818     0.636  0.0341       0.0684  
   5    13    0.682    0.817     0.635  0.0465       0.0930  
   5    13    0.718    0.797     0.593  0.0498       0.0997  
   5    13    0.755    0.809     0.618  0.0420       0.0839  
   5    13    0.791    0.820     0.640  0.0429       0.0863  
   5    13    0.827    0.824     0.648  0.0448       0.0898  
   5    13    0.864    0.816     0.632  0.0432       0.0865  
   5    13    0.900    0.823     0.646  0.0403       0.0808  
   6     6    0.500    0.830     0.660  0.0397       0.0797  
   6     6    0.536    0.832     0.664  0.0422       0.0843  
   6     6    0.573    0.833     0.666  0.0468       0.0937  
   6     6    0.609    0.814     0.629  0.0488       0.0973  
   6     6    0.645    0.829     0.658  0.0450       0.0900  
   6     6    0.682    0.833     0.666  0.0429       0.0861  
   6     6    0.718    0.828     0.656  0.0452       0.0903  
   6     6    0.755    0.820     0.639  0.0392       0.0787  
   6     6    0.791    0.829     0.659  0.0456       0.0912  
   6     6    0.827    0.823     0.644  0.0355       0.0715  
   6     6    0.864    0.826     0.652  0.0366       0.0732  
   6     6    0.900    0.833     0.665  0.0439       0.0879  
   6     7    0.500    0.836     0.671  0.0528       0.1056  
   6     7    0.536    0.821     0.642  0.0396       0.0791  
   6     7    0.573    0.821     0.641  0.0343       0.0687  
   6     7    0.609    0.814     0.627  0.0431       0.0863  
   6     7    0.645    0.821     0.641  0.0514       0.1032  
   6     7    0.682    0.820     0.640  0.0480       0.0960  
   6     7    0.718    0.819     0.639  0.0493       0.0988  
   6     7    0.755    0.810     0.620  0.0382       0.0765  
   6     7    0.791    0.821     0.642  0.0419       0.0840  
   6     7    0.827    0.806     0.612  0.0504       0.1005  
   6     7    0.864    0.816     0.632  0.0365       0.0729  
   6     7    0.900    0.831     0.662  0.0322       0.0646  
   6     8    0.500    0.804     0.607  0.0414       0.0827  
   6     8    0.536    0.810     0.620  0.0420       0.0842  
   6     8    0.573    0.814     0.627  0.0461       0.0920  
   6     8    0.609    0.839     0.677  0.0341       0.0682  
   6     8    0.645    0.805     0.610  0.0484       0.0972  
   6     8    0.682    0.809     0.617  0.0537       0.1072  
   6     8    0.718    0.819     0.639  0.0483       0.0968  
   6     8    0.755    0.814     0.627  0.0297       0.0593  
   6     8    0.791    0.832     0.664  0.0398       0.0798  
   6     8    0.827    0.816     0.633  0.0329       0.0656  
   6     8    0.864    0.810     0.619  0.0495       0.0993  
   6     8    0.900    0.821     0.642  0.0461       0.0924  
   6     9    0.500    0.833     0.666  0.0396       0.0794  
   6     9    0.536    0.826     0.652  0.0455       0.0913  
   6     9    0.573    0.821     0.641  0.0501       0.1003  
   6     9    0.609    0.828     0.655  0.0420       0.0845  
   6     9    0.645    0.827     0.654  0.0442       0.0885  
   6     9    0.682    0.831     0.662  0.0291       0.0582  
   6     9    0.718    0.837     0.675  0.0342       0.0684  
   6     9    0.755    0.820     0.640  0.0389       0.0780  
   6     9    0.791    0.814     0.627  0.0413       0.0829  
   6     9    0.827    0.814     0.627  0.0449       0.0896  
   6     9    0.864    0.812     0.624  0.0410       0.0822  
   6     9    0.900    0.824     0.649  0.0333       0.0666  
   6    10    0.500    0.812     0.624  0.0415       0.0832  
   6    10    0.536    0.823     0.645  0.0382       0.0764  
   6    10    0.573    0.796     0.592  0.0424       0.0851  
   6    10    0.609    0.809     0.617  0.0430       0.0861  
   6    10    0.645    0.816     0.632  0.0451       0.0900  
   6    10    0.682    0.816     0.631  0.0471       0.0947  
   6    10    0.718    0.815     0.630  0.0400       0.0803  
   6    10    0.755    0.815     0.630  0.0408       0.0819  
   6    10    0.791    0.821     0.642  0.0482       0.0965  
   6    10    0.827    0.825     0.650  0.0460       0.0918  
   6    10    0.864    0.819     0.639  0.0351       0.0699  
   6    10    0.900    0.813     0.625  0.0478       0.0957  
   6    11    0.500    0.809     0.618  0.0458       0.0918  
   6    11    0.536    0.820     0.640  0.0372       0.0744  
   6    11    0.573    0.813     0.626  0.0429       0.0860  
   6    11    0.609    0.819     0.637  0.0253       0.0508  
   6    11    0.645    0.831     0.661  0.0417       0.0835  
   6    11    0.682    0.817     0.633  0.0328       0.0660  
   6    11    0.718    0.816     0.631  0.0587       0.1175  
   6    11    0.755    0.811     0.621  0.0457       0.0910  
   6    11    0.791    0.815     0.630  0.0430       0.0863  
   6    11    0.827    0.819     0.637  0.0449       0.0901  
   6    11    0.864    0.830     0.660  0.0503       0.1009  
   6    11    0.900    0.802     0.603  0.0401       0.0803  
   6    12    0.500    0.814     0.628  0.0357       0.0714  
   6    12    0.536    0.811     0.622  0.0369       0.0740  
   6    12    0.573    0.823     0.645  0.0428       0.0858  
   6    12    0.609    0.831     0.662  0.0395       0.0794  
   6    12    0.645    0.824     0.648  0.0320       0.0642  
   6    12    0.682    0.813     0.626  0.0367       0.0736  
   6    12    0.718    0.819     0.637  0.0463       0.0929  
   6    12    0.755    0.805     0.609  0.0453       0.0906  
   6    12    0.791    0.816     0.632  0.0487       0.0979  
   6    12    0.827    0.833     0.665  0.0476       0.0958  
   6    12    0.864    0.811     0.621  0.0463       0.0926  
   6    12    0.900    0.829     0.658  0.0363       0.0726  
   6    13    0.500    0.821     0.641  0.0352       0.0708  
   6    13    0.536    0.824     0.647  0.0448       0.0892  
   6    13    0.573    0.806     0.612  0.0456       0.0919  
   6    13    0.609    0.829     0.658  0.0324       0.0648  
   6    13    0.645    0.818     0.636  0.0477       0.0956  
   6    13    0.682    0.809     0.617  0.0489       0.0980  
   6    13    0.718    0.808     0.616  0.0363       0.0728  
   6    13    0.755    0.823     0.646  0.0425       0.0849  
   6    13    0.791    0.806     0.611  0.0407       0.0815  
   6    13    0.827    0.811     0.622  0.0365       0.0734  
   6    13    0.864    0.821     0.642  0.0512       0.1026  
   6    13    0.900    0.814     0.628  0.0669       0.1344  
   7     7    0.500    0.826     0.651  0.0286       0.0571  
   7     7    0.536    0.814     0.627  0.0339       0.0677  
   7     7    0.573    0.814     0.627  0.0416       0.0834  
   7     7    0.609    0.828     0.656  0.0416       0.0836  
   7     7    0.645    0.811     0.621  0.0503       0.1009  
   7     7    0.682    0.811     0.621  0.0355       0.0715  
   7     7    0.718    0.824     0.648  0.0496       0.0994  
   7     7    0.755    0.831     0.661  0.0425       0.0854  
   7     7    0.791    0.824     0.649  0.0442       0.0882  
   7     7    0.827    0.827     0.653  0.0523       0.1046  
   7     7    0.864    0.815     0.629  0.0447       0.0895  
   7     7    0.900    0.828     0.656  0.0341       0.0680  
   7     8    0.500    0.820     0.639  0.0440       0.0880  
   7     8    0.536    0.820     0.640  0.0473       0.0948  
   7     8    0.573    0.821     0.641  0.0433       0.0868  
   7     8    0.609    0.822     0.644  0.0440       0.0880  
   7     8    0.645    0.813     0.625  0.0315       0.0628  
   7     8    0.682    0.801     0.601  0.0307       0.0614  
   7     8    0.718    0.821     0.642  0.0423       0.0847  
   7     8    0.755    0.831     0.661  0.0437       0.0879  
   7     8    0.791    0.829     0.658  0.0349       0.0699  
   7     8    0.827    0.822     0.644  0.0461       0.0926  
   7     8    0.864    0.824     0.647  0.0460       0.0922  
   7     8    0.900    0.828     0.656  0.0347       0.0696  
   7     9    0.500    0.809     0.618  0.0476       0.0956  
   7     9    0.536    0.826     0.651  0.0360       0.0721  
   7     9    0.573    0.818     0.635  0.0454       0.0910  
   7     9    0.609    0.816     0.632  0.0453       0.0909  
   7     9    0.645    0.808     0.616  0.0506       0.1012  
   7     9    0.682    0.817     0.634  0.0420       0.0841  
   7     9    0.718    0.818     0.636  0.0369       0.0743  
   7     9    0.755    0.812     0.623  0.0309       0.0618  
   7     9    0.791    0.813     0.626  0.0419       0.0839  
   7     9    0.827    0.808     0.615  0.0446       0.0895  
   7     9    0.864    0.832     0.663  0.0458       0.0917  
   7     9    0.900    0.812     0.624  0.0371       0.0743  
   7    10    0.500    0.835     0.670  0.0319       0.0642  
   7    10    0.536    0.820     0.639  0.0462       0.0930  
   7    10    0.573    0.817     0.634  0.0342       0.0683  
   7    10    0.609    0.820     0.640  0.0512       0.1025  
   7    10    0.645    0.817     0.634  0.0425       0.0851  
   7    10    0.682    0.826     0.651  0.0504       0.1007  
   7    10    0.718    0.816     0.631  0.0523       0.1046  
   7    10    0.755    0.811     0.622  0.0485       0.0968  
   7    10    0.791    0.819     0.637  0.0503       0.1007  
   7    10    0.827    0.827     0.654  0.0353       0.0705  
   7    10    0.864    0.826     0.652  0.0439       0.0883  
   7    10    0.900    0.816     0.631  0.0397       0.0794  
   7    11    0.500    0.812     0.623  0.0370       0.0745  
   7    11    0.536    0.814     0.627  0.0312       0.0623  
   7    11    0.573    0.819     0.638  0.0393       0.0786  
   7    11    0.609    0.818     0.636  0.0378       0.0762  
   7    11    0.645    0.806     0.611  0.0591       0.1184  
   7    11    0.682    0.816     0.631  0.0332       0.0665  
   7    11    0.718    0.810     0.620  0.0367       0.0740  
   7    11    0.755    0.815     0.629  0.0480       0.0960  
   7    11    0.791    0.816     0.633  0.0486       0.0970  
   7    11    0.827    0.810     0.620  0.0518       0.1038  
   7    11    0.864    0.823     0.644  0.0378       0.0759  
   7    11    0.900    0.806     0.611  0.0437       0.0876  
   7    12    0.500    0.803     0.606  0.0329       0.0664  
   7    12    0.536    0.831     0.662  0.0386       0.0773  
   7    12    0.573    0.815     0.629  0.0448       0.0897  
   7    12    0.609    0.804     0.608  0.0299       0.0602  
   7    12    0.645    0.809     0.618  0.0577       0.1158  
   7    12    0.682    0.815     0.629  0.0456       0.0914  
   7    12    0.718    0.807     0.613  0.0494       0.0987  
   7    12    0.755    0.819     0.637  0.0425       0.0852  
   7    12    0.791    0.829     0.657  0.0436       0.0871  
   7    12    0.827    0.816     0.631  0.0404       0.0810  
   7    12    0.864    0.818     0.635  0.0448       0.0899  
   7    12    0.900    0.812     0.623  0.0520       0.1043  
   7    13    0.500    0.803     0.605  0.0509       0.1022  
   7    13    0.536    0.807     0.613  0.0378       0.0758  
   7    13    0.573    0.818     0.635  0.0497       0.0995  
   7    13    0.609    0.811     0.621  0.0434       0.0870  
   7    13    0.645    0.809     0.618  0.0474       0.0948  
   7    13    0.682    0.814     0.628  0.0443       0.0887  
   7    13    0.718    0.813     0.626  0.0415       0.0827  
   7    13    0.755    0.806     0.611  0.0489       0.0979  
   7    13    0.791    0.818     0.636  0.0406       0.0812  
   7    13    0.827    0.828     0.656  0.0457       0.0918  
   7    13    0.864    0.833     0.666  0.0417       0.0836  
   7    13    0.900    0.834     0.667  0.0362       0.0725  
   8     8    0.500    0.817     0.633  0.0442       0.0883  
   8     8    0.536    0.820     0.639  0.0398       0.0801  
   8     8    0.573    0.814     0.628  0.0390       0.0782  
   8     8    0.609    0.816     0.632  0.0297       0.0592  
   8     8    0.645    0.816     0.632  0.0411       0.0821  
   8     8    0.682    0.823     0.646  0.0397       0.0798  
   8     8    0.718    0.820     0.640  0.0412       0.0823  
   8     8    0.755    0.815     0.630  0.0350       0.0699  
   8     8    0.791    0.822     0.644  0.0427       0.0852  
   8     8    0.827    0.815     0.630  0.0414       0.0827  
   8     8    0.864    0.816     0.632  0.0341       0.0683  
   8     8    0.900    0.818     0.635  0.0312       0.0625  
   8     9    0.500    0.813     0.626  0.0367       0.0739  
   8     9    0.536    0.834     0.667  0.0487       0.0979  
   8     9    0.573    0.808     0.616  0.0413       0.0827  
   8     9    0.609    0.822     0.643  0.0377       0.0755  
   8     9    0.645    0.799     0.598  0.0367       0.0736  
   8     9    0.682    0.811     0.621  0.0379       0.0759  
   8     9    0.718    0.831     0.661  0.0494       0.0986  
   8     9    0.755    0.809     0.618  0.0381       0.0761  
   8     9    0.791    0.816     0.631  0.0334       0.0671  
   8     9    0.827    0.820     0.640  0.0392       0.0785  
   8     9    0.864    0.818     0.636  0.0533       0.1069  
   8     9    0.900    0.819     0.637  0.0401       0.0804  
   8    10    0.500    0.817     0.634  0.0451       0.0905  
   8    10    0.536    0.818     0.636  0.0401       0.0804  
   8    10    0.573    0.818     0.636  0.0483       0.0968  
   8    10    0.609    0.812     0.624  0.0422       0.0845  
   8    10    0.645    0.814     0.627  0.0451       0.0903  
   8    10    0.682    0.819     0.638  0.0357       0.0716  
   8    10    0.718    0.813     0.626  0.0534       0.1072  
   8    10    0.755    0.816     0.632  0.0398       0.0799  
   8    10    0.791    0.804     0.607  0.0461       0.0926  
   8    10    0.827    0.819     0.637  0.0433       0.0865  
   8    10    0.864    0.809     0.618  0.0475       0.0956  
   8    10    0.900    0.816     0.631  0.0463       0.0926  
   8    11    0.500    0.812     0.624  0.0412       0.0828  
   8    11    0.536    0.811     0.621  0.0342       0.0685  
   8    11    0.573    0.812     0.624  0.0484       0.0967  
   8    11    0.609    0.828     0.656  0.0492       0.0985  
   8    11    0.645    0.809     0.618  0.0460       0.0925  
   8    11    0.682    0.814     0.628  0.0399       0.0800  
   8    11    0.718    0.810     0.620  0.0340       0.0682  
   8    11    0.755    0.814     0.628  0.0404       0.0811  
   8    11    0.791    0.810     0.620  0.0341       0.0684  
   8    11    0.827    0.792     0.583  0.0507       0.1020  
   8    11    0.864    0.808     0.616  0.0510       0.1022  
   8    11    0.900    0.818     0.636  0.0406       0.0814  
   8    12    0.500    0.818     0.635  0.0392       0.0787  
   8    12    0.536    0.807     0.613  0.0385       0.0772  
   8    12    0.573    0.815     0.629  0.0431       0.0868  
   8    12    0.609    0.803     0.606  0.0535       0.1072  
   8    12    0.645    0.811     0.621  0.0363       0.0731  
   8    12    0.682    0.817     0.633  0.0420       0.0845  
   8    12    0.718    0.803     0.606  0.0473       0.0950  
   8    12    0.755    0.817     0.633  0.0485       0.0971  
   8    12    0.791    0.816     0.632  0.0363       0.0730  
   8    12    0.827    0.813     0.626  0.0352       0.0708  
   8    12    0.864    0.805     0.609  0.0487       0.0980  
   8    12    0.900    0.817     0.635  0.0351       0.0704  
   8    13    0.500    0.827     0.653  0.0372       0.0747  
   8    13    0.536    0.813     0.626  0.0395       0.0795  
   8    13    0.573    0.815     0.630  0.0482       0.0967  
   8    13    0.609    0.811     0.622  0.0424       0.0850  
   8    13    0.645    0.801     0.601  0.0471       0.0946  
   8    13    0.682    0.817     0.633  0.0557       0.1117  
   8    13    0.718    0.813     0.625  0.0428       0.0863  
   8    13    0.755    0.809     0.618  0.0410       0.0822  
   8    13    0.791    0.821     0.641  0.0500       0.1003  
   8    13    0.827    0.806     0.612  0.0421       0.0840  
   8    13    0.864    0.797     0.593  0.0489       0.0985  
   8    13    0.900    0.808     0.616  0.0555       0.1114  
   9     9    0.500    0.813     0.626  0.0310       0.0620  
   9     9    0.536    0.809     0.617  0.0428       0.0858  
   9     9    0.573    0.811     0.622  0.0411       0.0819  
   9     9    0.609    0.817     0.633  0.0397       0.0798  
   9     9    0.645    0.821     0.641  0.0462       0.0927  
   9     9    0.682    0.811     0.622  0.0433       0.0869  
   9     9    0.718    0.818     0.634  0.0475       0.0954  
   9     9    0.755    0.808     0.615  0.0313       0.0627  
   9     9    0.791    0.814     0.628  0.0405       0.0814  
   9     9    0.827    0.811     0.622  0.0432       0.0867  
   9     9    0.864    0.803     0.605  0.0439       0.0882  
   9     9    0.900    0.823     0.645  0.0520       0.1042  
   9    10    0.500    0.812     0.625  0.0429       0.0857  
   9    10    0.536    0.823     0.646  0.0399       0.0801  
   9    10    0.573    0.813     0.626  0.0453       0.0906  
   9    10    0.609    0.813     0.626  0.0415       0.0835  
   9    10    0.645    0.819     0.639  0.0426       0.0854  
   9    10    0.682    0.814     0.627  0.0481       0.0967  
   9    10    0.718    0.814     0.628  0.0482       0.0964  
   9    10    0.755    0.818     0.636  0.0454       0.0911  
   9    10    0.791    0.798     0.596  0.0355       0.0709  
   9    10    0.827    0.804     0.607  0.0563       0.1125  
   9    10    0.864    0.823     0.646  0.0409       0.0821  
   9    10    0.900    0.806     0.612  0.0443       0.0887  
   9    11    0.500    0.803     0.605  0.0420       0.0837  
   9    11    0.536    0.804     0.608  0.0443       0.0890  
   9    11    0.573    0.808     0.616  0.0378       0.0756  
   9    11    0.609    0.810     0.620  0.0371       0.0739  
   9    11    0.645    0.813     0.626  0.0309       0.0618  
   9    11    0.682    0.806     0.612  0.0376       0.0752  
   9    11    0.718    0.806     0.611  0.0408       0.0817  
   9    11    0.755    0.802     0.604  0.0400       0.0800  
   9    11    0.791    0.811     0.621  0.0346       0.0691  
   9    11    0.827    0.810     0.620  0.0407       0.0810  
   9    11    0.864    0.819     0.638  0.0349       0.0700  
   9    11    0.900    0.816     0.631  0.0306       0.0613  
   9    12    0.500    0.811     0.622  0.0436       0.0876  
   9    12    0.536    0.799     0.597  0.0348       0.0696  
   9    12    0.573    0.799     0.598  0.0447       0.0896  
   9    12    0.609    0.819     0.638  0.0500       0.1002  
   9    12    0.645    0.796     0.591  0.0567       0.1140  
   9    12    0.682    0.816     0.632  0.0415       0.0833  
   9    12    0.718    0.808     0.616  0.0417       0.0835  
   9    12    0.755    0.817     0.633  0.0440       0.0881  
   9    12    0.791    0.818     0.636  0.0539       0.1078  
   9    12    0.827    0.797     0.593  0.0571       0.1145  
   9    12    0.864    0.794     0.588  0.0412       0.0826  
   9    12    0.900    0.806     0.610  0.0512       0.1027  
   9    13    0.500    0.811     0.622  0.0487       0.0975  
   9    13    0.536    0.801     0.602  0.0429       0.0863  
   9    13    0.573    0.812     0.623  0.0544       0.1092  
   9    13    0.609    0.816     0.631  0.0485       0.0970  
