Time difference of 2.275236 mins
[1] "==============="
Boosted Tree 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 719, 720, 721, 720, ... 

Resampling results across tuning parameters:

  maxdepth  mstop  Accuracy  Kappa  Accuracy SD  Kappa SD
  11        350    0.870     0.740  0.0358       0.0715  
  11        400    0.870     0.740  0.0358       0.0715  
  11        450    0.870     0.740  0.0358       0.0715  
  11        500    0.870     0.740  0.0358       0.0715  
  11        550    0.870     0.740  0.0358       0.0715  
  11        600    0.870     0.740  0.0358       0.0715  
  12         50    0.870     0.740  0.0358       0.0715  
  12        100    0.870     0.740  0.0358       0.0715  
  12        150    0.870     0.740  0.0358       0.0715  
  12        200    0.870     0.740  0.0358       0.0715  
  12        250    0.870     0.740  0.0358       0.0715  
  12        300    0.870     0.740  0.0358       0.0715  
  12        350    0.870     0.740  0.0358       0.0715  
  12        400    0.870     0.740  0.0358       0.0715  
  12        450    0.870     0.740  0.0358       0.0715  
  12        500    0.870     0.740  0.0358       0.0715  
  12        550    0.870     0.740  0.0358       0.0715  
  12        600    0.870     0.740  0.0358       0.0715  

Kappa was used to select the optimal model using  the largest value.
The final values used for the model were mstop = 100 and maxdepth = 6. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 89 19
         1  9 83
                                          
               Accuracy : 0.86            
                 95% CI : (0.8041, 0.9049)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : < 2e-16         
                                          
                  Kappa : 0.7204          
 Mcnemar's Test P-Value : 0.08897         
                                          
            Sensitivity : 0.9082          
            Specificity : 0.8137          
         Pos Pred Value : 0.8241          
         Neg Pred Value : 0.9022          
             Prevalence : 0.4900          
         Detection Rate : 0.4450          
   Detection Prevalence : 0.5400          
      Balanced Accuracy : 0.8609          
                                          
       'Positive' Class : 0               
                                          
