Time difference of 10.13406 secs
[1] "==============="
glmnet 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 721, 720, 719, 720, ... 

Resampling results across tuning parameters:

  alpha  lambda  Accuracy  Kappa    Accuracy SD  Kappa SD
  0.264  2.751   0.510     0.00000  0.00374      0.00000 
  0.264  2.834   0.510     0.00000  0.00374      0.00000 
  0.264  2.917   0.510     0.00000  0.00374      0.00000 
  0.264  3.000   0.510     0.00000  0.00374      0.00000 
  0.345  0.100   0.828     0.65601  0.04351      0.08709 
  0.345  0.183   0.817     0.63465  0.04267      0.08542 
  0.345  0.266   0.804     0.60826  0.04817      0.09652 
  0.345  0.349   0.781     0.56066  0.05003      0.10027 
  0.345  0.431   0.769     0.53753  0.05331      0.10693 
  0.345  0.514   0.754     0.50658  0.05172      0.10390 
  0.345  0.597   0.702     0.39940  0.03496      0.07017 
  0.345  0.680   0.511     0.00259  0.00602      0.01160 
  0.345  0.763   0.510     0.00000  0.00374      0.00000 
  0.345  0.846   0.510     0.00000  0.00374      0.00000 
  0.345  0.929   0.510     0.00000  0.00374      0.00000 
  0.345  1.011   0.510     0.00000  0.00374      0.00000 
  0.345  1.094   0.510     0.00000  0.00374      0.00000 
  0.345  1.177   0.510     0.00000  0.00374      0.00000 
  0.345  1.260   0.510     0.00000  0.00374      0.00000 
  0.345  1.343   0.510     0.00000  0.00374      0.00000 
  0.345  1.426   0.510     0.00000  0.00374      0.00000 
  0.345  1.509   0.510     0.00000  0.00374      0.00000 
  0.345  1.591   0.510     0.00000  0.00374      0.00000 
  0.345  1.674   0.510     0.00000  0.00374      0.00000 
  0.345  1.757   0.510     0.00000  0.00374      0.00000 
  0.345  1.840   0.510     0.00000  0.00374      0.00000 
  0.345  1.923   0.510     0.00000  0.00374      0.00000 
  0.345  2.006   0.510     0.00000  0.00374      0.00000 
  0.345  2.089   0.510     0.00000  0.00374      0.00000 
  0.345  2.171   0.510     0.00000  0.00374      0.00000 
  0.345  2.254   0.510     0.00000  0.00374      0.00000 
  0.345  2.337   0.510     0.00000  0.00374      0.00000 
  0.345  2.420   0.510     0.00000  0.00374      0.00000 
  0.345  2.503   0.510     0.00000  0.00374      0.00000 
  0.345  2.586   0.510     0.00000  0.00374      0.00000 
  0.345  2.669   0.510     0.00000  0.00374      0.00000 
  0.345  2.751   0.510     0.00000  0.00374      0.00000 
  0.345  2.834   0.510     0.00000  0.00374      0.00000 
  0.345  2.917   0.510     0.00000  0.00374      0.00000 
  0.345  3.000   0.510     0.00000  0.00374      0.00000 
  0.427  0.100   0.824     0.64728  0.04168      0.08338 
  0.427  0.183   0.811     0.62221  0.04676      0.09364 
  0.427  0.266   0.782     0.56327  0.04992      0.10009 
  0.427  0.349   0.772     0.54399  0.05239      0.10508 
  0.427  0.431   0.754     0.50658  0.05319      0.10681 
  0.427  0.514   0.655     0.30106  0.02914      0.05883 
  0.427  0.597   0.510     0.00000  0.00374      0.00000 
  0.427  0.680   0.510     0.00000  0.00374      0.00000 
  0.427  0.763   0.510     0.00000  0.00374      0.00000 
  0.427  0.846   0.510     0.00000  0.00374      0.00000 
  0.427  0.929   0.510     0.00000  0.00374      0.00000 
  0.427  1.011   0.510     0.00000  0.00374      0.00000 
  0.427  1.094   0.510     0.00000  0.00374      0.00000 
  0.427  1.177   0.510     0.00000  0.00374      0.00000 
  0.427  1.260   0.510     0.00000  0.00374      0.00000 
  0.427  1.343   0.510     0.00000  0.00374      0.00000 
  0.427  1.426   0.510     0.00000  0.00374      0.00000 
  0.427  1.509   0.510     0.00000  0.00374      0.00000 
  0.427  1.591   0.510     0.00000  0.00374      0.00000 
  0.427  1.674   0.510     0.00000  0.00374      0.00000 
  0.427  1.757   0.510     0.00000  0.00374      0.00000 
  0.427  1.840   0.510     0.00000  0.00374      0.00000 
  0.427  1.923   0.510     0.00000  0.00374      0.00000 
  0.427  2.006   0.510     0.00000  0.00374      0.00000 
  0.427  2.089   0.510     0.00000  0.00374      0.00000 
  0.427  2.171   0.510     0.00000  0.00374      0.00000 
  0.427  2.254   0.510     0.00000  0.00374      0.00000 
  0.427  2.337   0.510     0.00000  0.00374      0.00000 
  0.427  2.420   0.510     0.00000  0.00374      0.00000 
  0.427  2.503   0.510     0.00000  0.00374      0.00000 
  0.427  2.586   0.510     0.00000  0.00374      0.00000 
  0.427  2.669   0.510     0.00000  0.00374      0.00000 
  0.427  2.751   0.510     0.00000  0.00374      0.00000 
  0.427  2.834   0.510     0.00000  0.00374      0.00000 
  0.427  2.917   0.510     0.00000  0.00374      0.00000 
  0.427  3.000   0.510     0.00000  0.00374      0.00000 
  0.509  0.100   0.818     0.63597  0.04123      0.08249 
  0.509  0.183   0.799     0.59703  0.05135      0.10286 
  0.509  0.266   0.771     0.54178  0.05155      0.10332 
  0.509  0.349   0.769     0.53611  0.05131      0.10292 
  0.509  0.431   0.666     0.32368  0.03124      0.06248 
  0.509  0.514   0.510     0.00000  0.00374      0.00000 
  0.509  0.597   0.510     0.00000  0.00374      0.00000 
  0.509  0.680   0.510     0.00000  0.00374      0.00000 
  0.509  0.763   0.510     0.00000  0.00374      0.00000 
  0.509  0.846   0.510     0.00000  0.00374      0.00000 
  0.509  0.929   0.510     0.00000  0.00374      0.00000 
  0.509  1.011   0.510     0.00000  0.00374      0.00000 
  0.509  1.094   0.510     0.00000  0.00374      0.00000 
  0.509  1.177   0.510     0.00000  0.00374      0.00000 
  0.509  1.260   0.510     0.00000  0.00374      0.00000 
  0.509  1.343   0.510     0.00000  0.00374      0.00000 
  0.509  1.426   0.510     0.00000  0.00374      0.00000 
  0.509  1.509   0.510     0.00000  0.00374      0.00000 
  0.509  1.591   0.510     0.00000  0.00374      0.00000 
  0.509  1.674   0.510     0.00000  0.00374      0.00000 
  0.509  1.757   0.510     0.00000  0.00374      0.00000 
  0.509  1.840   0.510     0.00000  0.00374      0.00000 
  0.509  1.923   0.510     0.00000  0.00374      0.00000 
  0.509  2.006   0.510     0.00000  0.00374      0.00000 
  0.509  2.089   0.510     0.00000  0.00374      0.00000 
  0.509  2.171   0.510     0.00000  0.00374      0.00000 
  0.509  2.254   0.510     0.00000  0.00374      0.00000 
  0.509  2.337   0.510     0.00000  0.00374      0.00000 
  0.509  2.420   0.510     0.00000  0.00374      0.00000 
  0.509  2.503   0.510     0.00000  0.00374      0.00000 
  0.509  2.586   0.510     0.00000  0.00374      0.00000 
  0.509  2.669   0.510     0.00000  0.00374      0.00000 
  0.509  2.751   0.510     0.00000  0.00374      0.00000 
  0.509  2.834   0.510     0.00000  0.00374      0.00000 
  0.509  2.917   0.510     0.00000  0.00374      0.00000 
  0.509  3.000   0.510     0.00000  0.00374      0.00000 
  0.591  0.100   0.812     0.62490  0.03706      0.07414 
  0.591  0.183   0.784     0.56712  0.04991      0.09998 
  0.591  0.266   0.771     0.54156  0.04962      0.09951 
  0.591  0.349   0.741     0.47824  0.04484      0.09006 
  0.591  0.431   0.510     0.00000  0.00374      0.00000 
  0.591  0.514   0.510     0.00000  0.00374      0.00000 
  0.591  0.597   0.510     0.00000  0.00374      0.00000 
  0.591  0.680   0.510     0.00000  0.00374      0.00000 
  0.591  0.763   0.510     0.00000  0.00374      0.00000 
  0.591  0.846   0.510     0.00000  0.00374      0.00000 
  0.591  0.929   0.510     0.00000  0.00374      0.00000 
  0.591  1.011   0.510     0.00000  0.00374      0.00000 
  0.591  1.094   0.510     0.00000  0.00374      0.00000 
  0.591  1.177   0.510     0.00000  0.00374      0.00000 
  0.591  1.260   0.510     0.00000  0.00374      0.00000 
  0.591  1.343   0.510     0.00000  0.00374      0.00000 
  0.591  1.426   0.510     0.00000  0.00374      0.00000 
  0.591  1.509   0.510     0.00000  0.00374      0.00000 
  0.591  1.591   0.510     0.00000  0.00374      0.00000 
  0.591  1.674   0.510     0.00000  0.00374      0.00000 
  0.591  1.757   0.510     0.00000  0.00374      0.00000 
  0.591  1.840   0.510     0.00000  0.00374      0.00000 
  0.591  1.923   0.510     0.00000  0.00374      0.00000 
  0.591  2.006   0.510     0.00000  0.00374      0.00000 
  0.591  2.089   0.510     0.00000  0.00374      0.00000 
  0.591  2.171   0.510     0.00000  0.00374      0.00000 
  0.591  2.254   0.510     0.00000  0.00374      0.00000 
  0.591  2.337   0.510     0.00000  0.00374      0.00000 
  0.591  2.420   0.510     0.00000  0.00374      0.00000 
  0.591  2.503   0.510     0.00000  0.00374      0.00000 
  0.591  2.586   0.510     0.00000  0.00374      0.00000 
  0.591  2.669   0.510     0.00000  0.00374      0.00000 
  0.591  2.751   0.510     0.00000  0.00374      0.00000 
  0.591  2.834   0.510     0.00000  0.00374      0.00000 
  0.591  2.917   0.510     0.00000  0.00374      0.00000 
  0.591  3.000   0.510     0.00000  0.00374      0.00000 
  0.673  0.100   0.809     0.61855  0.04222      0.08459 
  0.673  0.183   0.781     0.56090  0.04871      0.09759 
  0.673  0.266   0.766     0.53126  0.05069      0.10166 
  0.673  0.349   0.528     0.03785  0.02013      0.04261 
  0.673  0.431   0.510     0.00000  0.00374      0.00000 
  0.673  0.514   0.510     0.00000  0.00374      0.00000 
  0.673  0.597   0.510     0.00000  0.00374      0.00000 
  0.673  0.680   0.510     0.00000  0.00374      0.00000 
  0.673  0.763   0.510     0.00000  0.00374      0.00000 
  0.673  0.846   0.510     0.00000  0.00374      0.00000 
  0.673  0.929   0.510     0.00000  0.00374      0.00000 
  0.673  1.011   0.510     0.00000  0.00374      0.00000 
  0.673  1.094   0.510     0.00000  0.00374      0.00000 
  0.673  1.177   0.510     0.00000  0.00374      0.00000 
  0.673  1.260   0.510     0.00000  0.00374      0.00000 
  0.673  1.343   0.510     0.00000  0.00374      0.00000 
  0.673  1.426   0.510     0.00000  0.00374      0.00000 
  0.673  1.509   0.510     0.00000  0.00374      0.00000 
  0.673  1.591   0.510     0.00000  0.00374      0.00000 
  0.673  1.674   0.510     0.00000  0.00374      0.00000 
  0.673  1.757   0.510     0.00000  0.00374      0.00000 
  0.673  1.840   0.510     0.00000  0.00374      0.00000 
  0.673  1.923   0.510     0.00000  0.00374      0.00000 
  0.673  2.006   0.510     0.00000  0.00374      0.00000 
  0.673  2.089   0.510     0.00000  0.00374      0.00000 
  0.673  2.171   0.510     0.00000  0.00374      0.00000 
  0.673  2.254   0.510     0.00000  0.00374      0.00000 
  0.673  2.337   0.510     0.00000  0.00374      0.00000 
  0.673  2.420   0.510     0.00000  0.00374      0.00000 
  0.673  2.503   0.510     0.00000  0.00374      0.00000 
  0.673  2.586   0.510     0.00000  0.00374      0.00000 
  0.673  2.669   0.510     0.00000  0.00374      0.00000 
  0.673  2.751   0.510     0.00000  0.00374      0.00000 
  0.673  2.834   0.510     0.00000  0.00374      0.00000 
  0.673  2.917   0.510     0.00000  0.00374      0.00000 
  0.673  3.000   0.510     0.00000  0.00374      0.00000 
  0.755  0.100   0.802     0.60469  0.04283      0.08579 
  0.755  0.183   0.771     0.54061  0.05062      0.10150 
  0.755  0.266   0.756     0.51044  0.04909      0.09858 
  0.755  0.349   0.510     0.00000  0.00374      0.00000 
  0.755  0.431   0.510     0.00000  0.00374      0.00000 
  0.755  0.514   0.510     0.00000  0.00374      0.00000 
  0.755  0.597   0.510     0.00000  0.00374      0.00000 
  0.755  0.680   0.510     0.00000  0.00374      0.00000 
  0.755  0.763   0.510     0.00000  0.00374      0.00000 
  0.755  0.846   0.510     0.00000  0.00374      0.00000 
  0.755  0.929   0.510     0.00000  0.00374      0.00000 
  0.755  1.011   0.510     0.00000  0.00374      0.00000 
  0.755  1.094   0.510     0.00000  0.00374      0.00000 
  0.755  1.177   0.510     0.00000  0.00374      0.00000 
  0.755  1.260   0.510     0.00000  0.00374      0.00000 
  0.755  1.343   0.510     0.00000  0.00374      0.00000 
  0.755  1.426   0.510     0.00000  0.00374      0.00000 
  0.755  1.509   0.510     0.00000  0.00374      0.00000 
  0.755  1.591   0.510     0.00000  0.00374      0.00000 
  0.755  1.674   0.510     0.00000  0.00374      0.00000 
  0.755  1.757   0.510     0.00000  0.00374      0.00000 
  0.755  1.840   0.510     0.00000  0.00374      0.00000 
  0.755  1.923   0.510     0.00000  0.00374      0.00000 
  0.755  2.006   0.510     0.00000  0.00374      0.00000 
  0.755  2.089   0.510     0.00000  0.00374      0.00000 
  0.755  2.171   0.510     0.00000  0.00374      0.00000 
  0.755  2.254   0.510     0.00000  0.00374      0.00000 
  0.755  2.337   0.510     0.00000  0.00374      0.00000 
  0.755  2.420   0.510     0.00000  0.00374      0.00000 
  0.755  2.503   0.510     0.00000  0.00374      0.00000 
  0.755  2.586   0.510     0.00000  0.00374      0.00000 
  0.755  2.669   0.510     0.00000  0.00374      0.00000 
  0.755  2.751   0.510     0.00000  0.00374      0.00000 
  0.755  2.834   0.510     0.00000  0.00374      0.00000 
  0.755  2.917   0.510     0.00000  0.00374      0.00000 
  0.755  3.000   0.510     0.00000  0.00374      0.00000 
  0.836  0.100   0.798     0.59587  0.04672      0.09358 
  0.836  0.183   0.769     0.53675  0.05357      0.10739 
  0.836  0.266   0.686     0.36527  0.03075      0.06170 
  0.836  0.349   0.510     0.00000  0.00374      0.00000 
  0.836  0.431   0.510     0.00000  0.00374      0.00000 
  0.836  0.514   0.510     0.00000  0.00374      0.00000 
  0.836  0.597   0.510     0.00000  0.00374      0.00000 
  0.836  0.680   0.510     0.00000  0.00374      0.00000 
  0.836  0.763   0.510     0.00000  0.00374      0.00000 
  0.836  0.846   0.510     0.00000  0.00374      0.00000 
  0.836  0.929   0.510     0.00000  0.00374      0.00000 
  0.836  1.011   0.510     0.00000  0.00374      0.00000 
  0.836  1.094   0.510     0.00000  0.00374      0.00000 
  0.836  1.177   0.510     0.00000  0.00374      0.00000 
  0.836  1.260   0.510     0.00000  0.00374      0.00000 
  0.836  1.343   0.510     0.00000  0.00374      0.00000 
  0.836  1.426   0.510     0.00000  0.00374      0.00000 
  0.836  1.509   0.510     0.00000  0.00374      0.00000 
  0.836  1.591   0.510     0.00000  0.00374      0.00000 
  0.836  1.674   0.510     0.00000  0.00374      0.00000 
  0.836  1.757   0.510     0.00000  0.00374      0.00000 
  0.836  1.840   0.510     0.00000  0.00374      0.00000 
  0.836  1.923   0.510     0.00000  0.00374      0.00000 
  0.836  2.006   0.510     0.00000  0.00374      0.00000 
  0.836  2.089   0.510     0.00000  0.00374      0.00000 
