Time difference of 27.1685 mins
[1] "==============="
Boosted Tree 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 719, 720, 720, 720, ... 

Resampling results across tuning parameters:

  maxdepth  mstop  Accuracy  Kappa  Accuracy SD  Kappa SD
  11        350    0.803     0.605  0.0445       0.0890  
  11        400    0.803     0.605  0.0445       0.0890  
  11        450    0.803     0.605  0.0445       0.0890  
  11        500    0.803     0.605  0.0445       0.0890  
  11        550    0.803     0.605  0.0445       0.0890  
  11        600    0.803     0.605  0.0445       0.0890  
  12         50    0.798     0.597  0.0530       0.1059  
  12        100    0.796     0.591  0.0506       0.1013  
  12        150    0.796     0.592  0.0519       0.1038  
  12        200    0.796     0.592  0.0519       0.1038  
  12        250    0.796     0.592  0.0519       0.1038  
  12        300    0.796     0.592  0.0519       0.1038  
  12        350    0.796     0.592  0.0519       0.1038  
  12        400    0.796     0.592  0.0519       0.1038  
  12        450    0.796     0.592  0.0519       0.1038  
  12        500    0.796     0.592  0.0519       0.1038  
  12        550    0.796     0.592  0.0519       0.1038  
  12        600    0.796     0.592  0.0519       0.1038  

Tuning parameter 'nu' was held constant at a value of 0.1
Kappa was used to select the optimal model using  the largest value.
The final values used for the model were mstop = 600, maxdepth = 3 and nu = 0.1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 74 22
         1 24 80
                                          
               Accuracy : 0.77            
                 95% CI : (0.7054, 0.8264)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : 3.462e-14       
                                          
                  Kappa : 0.5396          
 Mcnemar's Test P-Value : 0.8828          
                                          
            Sensitivity : 0.7551          
            Specificity : 0.7843          
         Pos Pred Value : 0.7708          
         Neg Pred Value : 0.7692          
             Prevalence : 0.4900          
         Detection Rate : 0.3700          
   Detection Prevalence : 0.4800          
      Balanced Accuracy : 0.7697          
                                          
       'Positive' Class : 0               
                                          
