Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.345  0.3636   5        NaN       NaN      NA           NA  
  0.345  0.3636   6        NaN       NaN      NA           NA  
  0.345  0.3636   7        NaN       NaN      NA           NA  
  0.345  0.3636   8      0.624     0.251  0.0294       0.0589  
  0.345  0.3636   9      0.624     0.251  0.0358       0.0716  
  0.345  0.3636  10      0.621     0.243  0.0432       0.0866  
  0.345  0.3636  11      0.626     0.253  0.0451       0.0906  
  0.345  0.3636  12      0.628     0.258  0.0446       0.0894  
  0.345  0.4545   2        NaN       NaN      NA           NA  
  0.345  0.4545   3        NaN       NaN      NA           NA  
  0.345  0.4545   4        NaN       NaN      NA           NA  
  0.345  0.4545   5        NaN       NaN      NA           NA  
  0.345  0.4545   6        NaN       NaN      NA           NA  
  0.345  0.4545   7        NaN       NaN      NA           NA  
  0.345  0.4545   8      0.636     0.274  0.0335       0.0668  
  0.345  0.4545   9      0.632     0.266  0.0370       0.0739  
  0.345  0.4545  10      0.634     0.271  0.0457       0.0917  
  0.345  0.4545  11      0.629     0.261  0.0455       0.0914  
  0.345  0.4545  12      0.631     0.265  0.0419       0.0839  
  0.345  0.5455   2        NaN       NaN      NA           NA  
  0.345  0.5455   3        NaN       NaN      NA           NA  
  0.345  0.5455   4        NaN       NaN      NA           NA  
  0.345  0.5455   5        NaN       NaN      NA           NA  
  0.345  0.5455   6        NaN       NaN      NA           NA  
  0.345  0.5455   7        NaN       NaN      NA           NA  
  0.345  0.5455   8      0.655     0.312  0.0390       0.0781  
  0.345  0.5455   9      0.652     0.307  0.0401       0.0803  
  0.345  0.5455  10      0.644     0.291  0.0391       0.0781  
  0.345  0.5455  11      0.642     0.286  0.0400       0.0799  
  0.345  0.5455  12      0.644     0.290  0.0415       0.0830  
  0.345  0.6364   2        NaN       NaN      NA           NA  
  0.345  0.6364   3        NaN       NaN      NA           NA  
  0.345  0.6364   4        NaN       NaN      NA           NA  
  0.345  0.6364   5        NaN       NaN      NA           NA  
  0.345  0.6364   6        NaN       NaN      NA           NA  
  0.345  0.6364   7        NaN       NaN      NA           NA  
  0.345  0.6364   8      0.671     0.344  0.0382       0.0761  
  0.345  0.6364   9      0.671     0.345  0.0389       0.0772  
  0.345  0.6364  10      0.672     0.347  0.0408       0.0815  
  0.345  0.6364  11      0.672     0.346  0.0433       0.0862  
  0.345  0.6364  12      0.674     0.351  0.0411       0.0819  
  0.345  0.7273   2        NaN       NaN      NA           NA  
  0.345  0.7273   3        NaN       NaN      NA           NA  
  0.345  0.7273   4        NaN       NaN      NA           NA  
  0.345  0.7273   5        NaN       NaN      NA           NA  
  0.345  0.7273   6        NaN       NaN      NA           NA  
  0.345  0.7273   7        NaN       NaN      NA           NA  
  0.345  0.7273   8      0.706     0.413  0.0429       0.0856  
  0.345  0.7273   9      0.703     0.408  0.0444       0.0884  
  0.345  0.7273  10      0.704     0.411  0.0410       0.0818  
  0.345  0.7273  11      0.705     0.412  0.0421       0.0837  
  0.345  0.7273  12      0.711     0.424  0.0424       0.0843  
  0.345  0.8182   2        NaN       NaN      NA           NA  
  0.345  0.8182   3        NaN       NaN      NA           NA  
  0.345  0.8182   4        NaN       NaN      NA           NA  
  0.345  0.8182   5        NaN       NaN      NA           NA  
  0.345  0.8182   6        NaN       NaN      NA           NA  
  0.345  0.8182   7        NaN       NaN      NA           NA  
  0.345  0.8182   8      0.744     0.490  0.0453       0.0903  
  0.345  0.8182   9      0.748     0.498  0.0443       0.0880  
  0.345  0.8182  10      0.746     0.493  0.0475       0.0944  
  0.345  0.8182  11      0.747     0.496  0.0512       0.1019  
  0.345  0.8182  12      0.745     0.491  0.0524       0.1046  
  0.345  0.9091   2        NaN       NaN      NA           NA  
  0.345  0.9091   3        NaN       NaN      NA           NA  
  0.345  0.9091   4        NaN       NaN      NA           NA  
  0.345  0.9091   5        NaN       NaN      NA           NA  
  0.345  0.9091   6        NaN       NaN      NA           NA  
  0.345  0.9091   7        NaN       NaN      NA           NA  
  0.345  0.9091   8      0.777     0.554  0.0427       0.0851  
  0.345  0.9091   9      0.772     0.544  0.0402       0.0800  
  0.345  0.9091  10      0.771     0.542  0.0433       0.0862  
  0.345  0.9091  11      0.774     0.548  0.0404       0.0805  
  0.345  0.9091  12      0.774     0.548  0.0372       0.0741  
  0.345  1.0000   2        NaN       NaN      NA           NA  
  0.345  1.0000   3        NaN       NaN      NA           NA  
  0.345  1.0000   4        NaN       NaN      NA           NA  
  0.345  1.0000   5        NaN       NaN      NA           NA  
  0.345  1.0000   6        NaN       NaN      NA           NA  
  0.345  1.0000   7        NaN       NaN      NA           NA  
  0.345  1.0000   8      0.791     0.583  0.0369       0.0737  
  0.345  1.0000   9      0.794     0.588  0.0395       0.0789  
  0.345  1.0000  10      0.781     0.563  0.0375       0.0749  
  0.345  1.0000  11      0.781     0.561  0.0427       0.0853  
  0.345  1.0000  12      0.782     0.565  0.0406       0.0810  
  0.427  0.0000   2        NaN       NaN      NA           NA  
  0.427  0.0000   3        NaN       NaN      NA           NA  
  0.427  0.0000   4        NaN       NaN      NA           NA  
  0.427  0.0000   5        NaN       NaN      NA           NA  
  0.427  0.0000   6        NaN       NaN      NA           NA  
  0.427  0.0000   7        NaN       NaN      NA           NA  
  0.427  0.0000   8      0.619     0.241  0.0331       0.0662  
  0.427  0.0000   9      0.617     0.236  0.0386       0.0776  
  0.427  0.0000  10      0.612     0.227  0.0437       0.0877  
  0.427  0.0000  11      0.621     0.244  0.0474       0.0949  
  0.427  0.0000  12      0.619     0.239  0.0450       0.0901  
  0.427  0.0909   2        NaN       NaN      NA           NA  
  0.427  0.0909   3        NaN       NaN      NA           NA  
  0.427  0.0909   4        NaN       NaN      NA           NA  
  0.427  0.0909   5        NaN       NaN      NA           NA  
  0.427  0.0909   6        NaN       NaN      NA           NA  
  0.427  0.0909   7        NaN       NaN      NA           NA  
  0.427  0.0909   8      0.620     0.242  0.0331       0.0661  
  0.427  0.0909   9      0.617     0.237  0.0396       0.0794  
  0.427  0.0909  10      0.613     0.228  0.0447       0.0899  
  0.427  0.0909  11      0.623     0.248  0.0484       0.0970  
  0.427  0.0909  12      0.617     0.237  0.0433       0.0867  
  0.427  0.1818   2        NaN       NaN      NA           NA  
  0.427  0.1818   3        NaN       NaN      NA           NA  
  0.427  0.1818   4        NaN       NaN      NA           NA  
  0.427  0.1818   5        NaN       NaN      NA           NA  
  0.427  0.1818   6        NaN       NaN      NA           NA  
  0.427  0.1818   7        NaN       NaN      NA           NA  
  0.427  0.1818   8      0.621     0.243  0.0331       0.0661  
  0.427  0.1818   9      0.617     0.237  0.0395       0.0792  
  0.427  0.1818  10      0.615     0.232  0.0483       0.0971  
  0.427  0.1818  11      0.625     0.252  0.0476       0.0954  
  0.427  0.1818  12      0.620     0.242  0.0461       0.0924  
  0.427  0.2727   2        NaN       NaN      NA           NA  
  0.427  0.2727   3        NaN       NaN      NA           NA  
  0.427  0.2727   4        NaN       NaN      NA           NA  
  0.427  0.2727   5        NaN       NaN      NA           NA  
  0.427  0.2727   6        NaN       NaN      NA           NA  
  0.427  0.2727   7        NaN       NaN      NA           NA  
  0.427  0.2727   8      0.626     0.254  0.0363       0.0725  
  0.427  0.2727   9      0.622     0.246  0.0382       0.0766  
  0.427  0.2727  10      0.619     0.241  0.0437       0.0874  
  0.427  0.2727  11      0.626     0.253  0.0510       0.1023  
  0.427  0.2727  12      0.627     0.256  0.0443       0.0889  
  0.427  0.3636   2        NaN       NaN      NA           NA  
  0.427  0.3636   3        NaN       NaN      NA           NA  
  0.427  0.3636   4        NaN       NaN      NA           NA  
  0.427  0.3636   5        NaN       NaN      NA           NA  
  0.427  0.3636   6        NaN       NaN      NA           NA  
  0.427  0.3636   7        NaN       NaN      NA           NA  
  0.427  0.3636   8      0.629     0.261  0.0331       0.0660  
  0.427  0.3636   9      0.627     0.256  0.0412       0.0822  
  0.427  0.3636  10      0.627     0.257  0.0452       0.0906  
  0.427  0.3636  11      0.626     0.253  0.0484       0.0972  
  0.427  0.3636  12      0.629     0.259  0.0477       0.0956  
  0.427  0.4545   2        NaN       NaN      NA           NA  
  0.427  0.4545   3        NaN       NaN      NA           NA  
  0.427  0.4545   4        NaN       NaN      NA           NA  
  0.427  0.4545   5        NaN       NaN      NA           NA  
  0.427  0.4545   6        NaN       NaN      NA           NA  
  0.427  0.4545   7        NaN       NaN      NA           NA  
  0.427  0.4545   8      0.642     0.287  0.0374       0.0746  
  0.427  0.4545   9      0.642     0.286  0.0390       0.0781  
  0.427  0.4545  10      0.640     0.283  0.0449       0.0899  
  0.427  0.4545  11      0.635     0.272  0.0481       0.0961  
  0.427  0.4545  12      0.635     0.272  0.0457       0.0911  
  0.427  0.5455   2        NaN       NaN      NA           NA  
  0.427  0.5455   3        NaN       NaN      NA           NA  
  0.427  0.5455   4        NaN       NaN      NA           NA  
  0.427  0.5455   5        NaN       NaN      NA           NA  
  0.427  0.5455   6        NaN       NaN      NA           NA  
  0.427  0.5455   7        NaN       NaN      NA           NA  
  0.427  0.5455   8      0.664     0.331  0.0376       0.0752  
  0.427  0.5455   9      0.665     0.332  0.0390       0.0778  
  0.427  0.5455  10      0.661     0.325  0.0405       0.0806  
  0.427  0.5455  11      0.657     0.317  0.0410       0.0819  
  0.427  0.5455  12      0.659     0.319  0.0447       0.0893  
  0.427  0.6364   2        NaN       NaN      NA           NA  
  0.427  0.6364   3        NaN       NaN      NA           NA  
  0.427  0.6364   4        NaN       NaN      NA           NA  
  0.427  0.6364   5        NaN       NaN      NA           NA  
  0.427  0.6364   6        NaN       NaN      NA           NA  
  0.427  0.6364   7        NaN       NaN      NA           NA  
  0.427  0.6364   8      0.692     0.387  0.0406       0.0808  
  0.427  0.6364   9      0.697     0.396  0.0467       0.0931  
  0.427  0.6364  10      0.701     0.403  0.0425       0.0847  
  0.427  0.6364  11      0.704     0.409  0.0454       0.0904  
  0.427  0.6364  12      0.708     0.418  0.0463       0.0921  
  0.427  0.7273   2        NaN       NaN      NA           NA  
  0.427  0.7273   3        NaN       NaN      NA           NA  
  0.427  0.7273   4        NaN       NaN      NA           NA  
  0.427  0.7273   5        NaN       NaN      NA           NA  
  0.427  0.7273   6        NaN       NaN      NA           NA  
  0.427  0.7273   7        NaN       NaN      NA           NA  
  0.427  0.7273   8      0.741     0.484  0.0410       0.0814  
  0.427  0.7273   9      0.741     0.483  0.0396       0.0787  
  0.427  0.7273  10      0.741     0.484  0.0452       0.0898  
  0.427  0.7273  11      0.741     0.482  0.0477       0.0949  
  0.427  0.7273  12      0.737     0.476  0.0491       0.0978  
  0.427  0.8182   2        NaN       NaN      NA           NA  
  0.427  0.8182   3        NaN       NaN      NA           NA  
  0.427  0.8182   4        NaN       NaN      NA           NA  
  0.427  0.8182   5        NaN       NaN      NA           NA  
  0.427  0.8182   6        NaN       NaN      NA           NA  
  0.427  0.8182   7        NaN       NaN      NA           NA  
  0.427  0.8182   8      0.769     0.538  0.0467       0.0930  
  0.427  0.8182   9      0.762     0.525  0.0499       0.0994  
  0.427  0.8182  10      0.770     0.541  0.0495       0.0986  
  0.427  0.8182  11      0.765     0.531  0.0493       0.0981  
  0.427  0.8182  12      0.763     0.527  0.0520       0.1035  
  0.427  0.9091   2        NaN       NaN      NA           NA  
  0.427  0.9091   3        NaN       NaN      NA           NA  
  0.427  0.9091   4        NaN       NaN      NA           NA  
  0.427  0.9091   5        NaN       NaN      NA           NA  
  0.427  0.9091   6        NaN       NaN      NA           NA  
  0.427  0.9091   7        NaN       NaN      NA           NA  
  0.427  0.9091   8      0.802     0.604  0.0356       0.0712  
  0.427  0.9091   9      0.801     0.603  0.0372       0.0742  
  0.427  0.9091  10      0.787     0.574  0.0335       0.0668  
  0.427  0.9091  11      0.783     0.567  0.0417       0.0833  
  0.427  0.9091  12      0.784     0.568  0.0340       0.0676  
  0.427  1.0000   2        NaN       NaN      NA           NA  
  0.427  1.0000   3        NaN       NaN      NA           NA  
  0.427  1.0000   4        NaN       NaN      NA           NA  
  0.427  1.0000   5        NaN       NaN      NA           NA  
  0.427  1.0000   6        NaN       NaN      NA           NA  
  0.427  1.0000   7        NaN       NaN      NA           NA  
  0.427  1.0000   8      0.784     0.569  0.0413       0.0828  
  0.427  1.0000   9      0.784     0.569  0.0412       0.0826  
  0.427  1.0000  10      0.783     0.565  0.0433       0.0868  
  0.427  1.0000  11      0.782     0.565  0.0407       0.0817  
  0.427  1.0000  12      0.795     0.590  0.0374       0.0750  
  0.509  0.0000   2        NaN       NaN      NA           NA  
  0.509  0.0000   3        NaN       NaN      NA           NA  
  0.509  0.0000   4        NaN       NaN      NA           NA  
  0.509  0.0000   5        NaN       NaN      NA           NA  
  0.509  0.0000   6        NaN       NaN      NA           NA  
  0.509  0.0000   7        NaN       NaN      NA           NA  
  0.509  0.0000   8      0.616     0.233  0.0341       0.0684  
  0.509  0.0000   9      0.615     0.232  0.0379       0.0760  
  0.509  0.0000  10      0.616     0.233  0.0466       0.0936  
  0.509  0.0000  11      0.618     0.238  0.0471       0.0946  
  0.509  0.0000  12      0.617     0.235  0.0459       0.0921  
  0.509  0.0909   2        NaN       NaN      NA           NA  
  0.509  0.0909   3        NaN       NaN      NA           NA  
  0.509  0.0909   4        NaN       NaN      NA           NA  
  0.509  0.0909   5        NaN       NaN      NA           NA  
  0.509  0.0909   6        NaN       NaN      NA           NA  
  0.509  0.0909   7        NaN       NaN      NA           NA  
  0.509  0.0909   8      0.616     0.234  0.0340       0.0682  
  0.509  0.0909   9      0.617     0.235  0.0377       0.0756  
  0.509  0.0909  10      0.617     0.235  0.0471       0.0946  
  0.509  0.0909  11      0.619     0.239  0.0495       0.0993  
  0.509  0.0909  12      0.617     0.235  0.0482       0.0966  
  0.509  0.1818   2        NaN       NaN      NA           NA  
  0.509  0.1818   3        NaN       NaN      NA           NA  
  0.509  0.1818   4        NaN       NaN      NA           NA  
  0.509  0.1818   5        NaN       NaN      NA           NA  
  0.509  0.1818   6        NaN       NaN      NA           NA  
  0.509  0.1818   7        NaN       NaN      NA           NA  
  0.509  0.1818   8      0.619     0.241  0.0344       0.0690  
  0.509  0.1818   9      0.619     0.239  0.0372       0.0747  
  0.509  0.1818  10      0.618     0.238  0.0456       0.0915  
  0.509  0.1818  11      0.619     0.241  0.0490       0.0985  
  0.509  0.1818  12      0.621     0.244  0.0462       0.0926  
  0.509  0.2727   2        NaN       NaN      NA           NA  
  0.509  0.2727   3        NaN       NaN      NA           NA  
  0.509  0.2727   4        NaN       NaN      NA           NA  
  0.509  0.2727   5        NaN       NaN      NA           NA  
  0.509  0.2727   6        NaN       NaN      NA           NA  
  0.509  0.2727   7        NaN       NaN      NA           NA  
  0.509  0.2727   8      0.626     0.254  0.0370       0.0739  
  0.509  0.2727   9      0.626     0.254  0.0381       0.0766  
  0.509  0.2727  10      0.624     0.250  0.0483       0.0969  
  0.509  0.2727  11      0.628     0.258  0.0486       0.0973  
  0.509  0.2727  12      0.629     0.259  0.0496       0.0993  
  0.509  0.3636   2        NaN       NaN      NA           NA  
  0.509  0.3636   3        NaN       NaN      NA           NA  
  0.509  0.3636   4        NaN       NaN      NA           NA  
  0.509  0.3636   5        NaN       NaN      NA           NA  
  0.509  0.3636   6        NaN       NaN      NA           NA  
  0.509  0.3636   7        NaN       NaN      NA           NA  
  0.509  0.3636   8      0.639     0.279  0.0368       0.0734  
  0.509  0.3636   9      0.632     0.267  0.0388       0.0777  
  0.509  0.3636  10      0.634     0.270  0.0476       0.0956  
  0.509  0.3636  11      0.629     0.259  0.0571       0.1144  
  0.509  0.3636  12      0.631     0.263  0.0527       0.1057  
  0.509  0.4545   2        NaN       NaN      NA           NA  
  0.509  0.4545   3        NaN       NaN      NA           NA  
  0.509  0.4545   4        NaN       NaN      NA           NA  
  0.509  0.4545   5        NaN       NaN      NA           NA  
  0.509  0.4545   6        NaN       NaN      NA           NA  
  0.509  0.4545   7        NaN       NaN      NA           NA  
  0.509  0.4545   8      0.647     0.296  0.0432       0.0864  
  0.509  0.4545   9      0.647     0.297  0.0381       0.0761  
  0.509  0.4545  10      0.650     0.302  0.0443       0.0886  
  0.509  0.4545  11      0.642     0.286  0.0493       0.0986  
  0.509  0.4545  12      0.643     0.288  0.0500       0.0998  
  0.509  0.5455   2        NaN       NaN      NA           NA  
  0.509  0.5455   3        NaN       NaN      NA           NA  
  0.509  0.5455   4        NaN       NaN      NA           NA  
  0.509  0.5455   5        NaN       NaN      NA           NA  
  0.509  0.5455   6        NaN       NaN      NA           NA  
  0.509  0.5455   7        NaN       NaN      NA           NA  
  0.509  0.5455   8      0.678     0.358  0.0371       0.0741  
  0.509  0.5455   9      0.681     0.365  0.0358       0.0717  
  0.509  0.5455  10      0.684     0.369  0.0410       0.0817  
  0.509  0.5455  11      0.682     0.367  0.0428       0.0852  
  0.509  0.5455  12      0.685     0.372  0.0476       0.0947  
  0.509  0.6364   2        NaN       NaN      NA           NA  
  0.509  0.6364   3        NaN       NaN      NA           NA  
  0.509  0.6364   4        NaN       NaN      NA           NA  
  0.509  0.6364   5        NaN       NaN      NA           NA  
  0.509  0.6364   6        NaN       NaN      NA           NA  
  0.509  0.6364   7        NaN       NaN      NA           NA  
  0.509  0.6364   8      0.722     0.447  0.0425       0.0846  
  0.509  0.6364   9      0.726     0.453  0.0413       0.0824  
  0.509  0.6364  10      0.724     0.450  0.0435       0.0866  
  0.509  0.6364  11      0.729     0.460  0.0441       0.0878  
  0.509  0.6364  12      0.727     0.455  0.0457       0.0910  
  0.509  0.7273   2        NaN       NaN      NA           NA  
  0.509  0.7273   3        NaN       NaN      NA           NA  
  0.509  0.7273   4        NaN       NaN      NA           NA  
  0.509  0.7273   5        NaN       NaN      NA           NA  
  0.509  0.7273   6        NaN       NaN      NA           NA  
  0.509  0.7273   7        NaN       NaN      NA           NA  
  0.509  0.7273   8      0.752     0.505  0.0493       0.0982  
  0.509  0.7273   9      0.751     0.503  0.0511       0.1018  
  0.509  0.7273  10      0.758     0.517  0.0547       0.1089  
  0.509  0.7273  11      0.761     0.522  0.0504       0.1004  
  0.509  0.7273  12      0.754     0.510  0.0502       0.0999  
  0.509  0.8182   2        NaN       NaN      NA           NA  
  0.509  0.8182   3        NaN       NaN      NA           NA  
  0.509  0.8182   4        NaN       NaN      NA           NA  
  0.509  0.8182   5        NaN       NaN      NA           NA  
  0.509  0.8182   6        NaN       NaN      NA           NA  
  0.509  0.8182   7        NaN       NaN      NA           NA  
  0.509  0.8182   8      0.785     0.571  0.0411       0.0818  
  0.509  0.8182   9      0.782     0.565  0.0415       0.0826  
  0.509  0.8182  10      0.778     0.557  0.0440       0.0878  
  0.509  0.8182  11      0.778     0.557  0.0435       0.0869  
  0.509  0.8182  12      0.775     0.550  0.0445       0.0887  
  0.509  0.9091   2        NaN       NaN      NA           NA  
  0.509  0.9091   3        NaN       NaN      NA           NA  
  0.509  0.9091   4        NaN       NaN      NA           NA  
  0.509  0.9091   5        NaN       NaN      NA           NA  
  0.509  0.9091   6        NaN       NaN      NA           NA  
  0.509  0.9091   7        NaN       NaN      NA           NA  
  0.509  0.9091   8      0.799     0.599  0.0390       0.0780  
  0.509  0.9091   9      0.799     0.598  0.0371       0.0743  
  0.509  0.9091  10      0.788     0.576  0.0415       0.0831  
  0.509  0.9091  11      0.792     0.585  0.0358       0.0717  
  0.509  0.9091  12      0.792     0.585  0.0376       0.0753  
  0.509  1.0000   2        NaN       NaN      NA           NA  
  0.509  1.0000   3        NaN       NaN      NA           NA  
  0.509  1.0000   4        NaN       NaN      NA           NA  
  0.509  1.0000   5        NaN       NaN      NA           NA  
  0.509  1.0000   6        NaN       NaN      NA           NA  
  0.509  1.0000   7        NaN       NaN      NA           NA  
  0.509  1.0000   8      0.784     0.568  0.0420       0.0840  
  0.509  1.0000   9      0.786     0.571  0.0435       0.0873  
  0.509  1.0000  10      0.786     0.573  0.0473       0.0949  
  0.509  1.0000  11      0.786     0.571  0.0350       0.0701  
  0.509  1.0000  12      0.788     0.576  0.0348       0.0697  
  0.591  0.0000   2        NaN       NaN      NA           NA  
  0.591  0.0000   3        NaN       NaN      NA           NA  
  0.591  0.0000   4        NaN       NaN      NA           NA  
  0.591  0.0000   5        NaN       NaN      NA           NA  
  0.591  0.0000   6        NaN       NaN      NA           NA  
  0.591  0.0000   7        NaN       NaN      NA           NA  
  0.591  0.0000   8      0.620     0.242  0.0356       0.0714  
  0.591  0.0000   9      0.621     0.244  0.0405       0.0813  
  0.591  0.0000  10      0.614     0.230  0.0461       0.0927  
  0.591  0.0000  11      0.617     0.237  0.0421       0.0846  
  0.591  0.0000  12      0.619     0.240  0.0411       0.0823  
  0.591  0.0909   2        NaN       NaN      NA           NA  
  0.591  0.0909   3        NaN       NaN      NA           NA  
  0.591  0.0909   4        NaN       NaN      NA           NA  
  0.591  0.0909   5        NaN       NaN      NA           NA  
  0.591  0.0909   6        NaN       NaN      NA           NA  
  0.591  0.0909   7        NaN       NaN      NA           NA  
  0.591  0.0909   8      0.621     0.243  0.0356       0.0713  
  0.591  0.0909   9      0.622     0.247  0.0415       0.0831  
  0.591  0.0909  10      0.614     0.230  0.0461       0.0927  
  0.591  0.0909  11      0.619     0.239  0.0426       0.0856  
  0.591  0.0909  12      0.621     0.243  0.0410       0.0822  
  0.591  0.1818   2        NaN       NaN      NA           NA  
  0.591  0.1818   3        NaN       NaN      NA           NA  
  0.591  0.1818   4        NaN       NaN      NA           NA  
  0.591  0.1818   5        NaN       NaN      NA           NA  
  0.591  0.1818   6        NaN       NaN      NA           NA  
  0.591  0.1818   7        NaN       NaN      NA           NA  
  0.591  0.1818   8      0.624     0.249  0.0327       0.0655  
  0.591  0.1818   9      0.624     0.249  0.0418       0.0839  
  0.591  0.1818  10      0.621     0.243  0.0470       0.0944  
  0.591  0.1818  11      0.624     0.250  0.0466       0.0935  
  0.591  0.1818  12      0.622     0.245  0.0409       0.0821  
  0.591  0.2727   2        NaN       NaN      NA           NA  
  0.591  0.2727   3        NaN       NaN      NA           NA  
  0.591  0.2727   4        NaN       NaN      NA           NA  
  0.591  0.2727   5        NaN       NaN      NA           NA  
  0.591  0.2727   6        NaN       NaN      NA           NA  
  0.591  0.2727   7        NaN       NaN      NA           NA  
  0.591  0.2727   8      0.624     0.251  0.0307       0.0612  
  0.591  0.2727   9      0.628     0.258  0.0396       0.0796  
  0.591  0.2727  10      0.624     0.249  0.0467       0.0939  
  0.591  0.2727  11      0.629     0.261  0.0488       0.0979  
  0.591  0.2727  12      0.626     0.253  0.0486       0.0976  
  0.591  0.3636   2        NaN       NaN      NA           NA  
  0.591  0.3636   3        NaN       NaN      NA           NA  
  0.591  0.3636   4        NaN       NaN      NA           NA  
  0.591  0.3636   5        NaN       NaN      NA           NA  
  0.591  0.3636   6        NaN       NaN      NA           NA  
  0.591  0.3636   7        NaN       NaN      NA           NA  
  0.591  0.3636   8      0.640     0.283  0.0425       0.0848  
  0.591  0.3636   9      0.638     0.278  0.0387       0.0775  
  0.591  0.3636  10      0.637     0.275  0.0478       0.0957  
  0.591  0.3636  11      0.632     0.267  0.0559       0.1121  
  0.591  0.3636  12      0.631     0.263  0.0527       0.1054  
  0.591  0.4545   2        NaN       NaN      NA           NA  
  0.591  0.4545   3        NaN       NaN      NA           NA  
  0.591  0.4545   4        NaN       NaN      NA           NA  
  0.591  0.4545   5        NaN       NaN      NA           NA  
  0.591  0.4545   6        NaN       NaN      NA           NA  
  0.591  0.4545   7        NaN       NaN      NA           NA  
  0.591  0.4545   8      0.652     0.306  0.0475       0.0949  
  0.591  0.4545   9      0.653     0.308  0.0452       0.0904  
  0.591  0.4545  10      0.662     0.325  0.0472       0.0944  
  0.591  0.4545  11      0.656     0.314  0.0483       0.0965  
  0.591  0.4545  12      0.654     0.310  0.0481       0.0962  
  0.591  0.5455   2        NaN       NaN      NA           NA  
  0.591  0.5455   3        NaN       NaN      NA           NA  
  0.591  0.5455   4        NaN       NaN      NA           NA  
  0.591  0.5455   5        NaN       NaN      NA           NA  
  0.591  0.5455   6        NaN       NaN      NA           NA  
  0.591  0.5455   7        NaN       NaN      NA           NA  
  0.591  0.5455   8      0.699     0.400  0.0412       0.0823  
  0.591  0.5455   9      0.698     0.398  0.0412       0.0825  
  0.591  0.5455  10      0.698     0.398  0.0464       0.0926  
  0.591  0.5455  11      0.704     0.410  0.0409       0.0815  
  0.591  0.5455  12      0.702     0.405  0.0420       0.0837  
  0.591  0.6364   2        NaN       NaN      NA           NA  
  0.591  0.6364   3        NaN       NaN      NA           NA  
  0.591  0.6364   4        NaN       NaN      NA           NA  
  0.591  0.6364   5        NaN       NaN      NA           NA  
  0.591  0.6364   6        NaN       NaN      NA           NA  
  0.591  0.6364   7        NaN       NaN      NA           NA  
  0.591  0.6364   8      0.744     0.489  0.0435       0.0865  
  0.591  0.6364   9      0.746     0.494  0.0408       0.0813  
  0.591  0.6364  10      0.746     0.492  0.0437       0.0871  
  0.591  0.6364  11      0.746     0.493  0.0437       0.0870  
  0.591  0.6364  12      0.746     0.492  0.0469       0.0933  
  0.591  0.7273   2        NaN       NaN      NA           NA  
  0.591  0.7273   3        NaN       NaN      NA           NA  
  0.591  0.7273   4        NaN       NaN      NA           NA  
  0.591  0.7273   5        NaN       NaN      NA           NA  
  0.591  0.7273   6        NaN       NaN      NA           NA  
  0.591  0.7273   7        NaN       NaN      NA           NA  
  0.591  0.7273   8      0.763     0.527  0.0514       0.1025  
  0.591  0.7273   9      0.761     0.522  0.0468       0.0933  
  0.591  0.7273  10      0.768     0.537  0.0526       0.1047  
  0.591  0.7273  11      0.766     0.532  0.0484       0.0964  
  0.591  0.7273  12      0.764     0.528  0.0483       0.0961  
  0.591  0.8182   2        NaN       NaN      NA           NA  
  0.591  0.8182   3        NaN       NaN      NA           NA  
  0.591  0.8182   4        NaN       NaN      NA           NA  
  0.591  0.8182   5        NaN       NaN      NA           NA  
  0.591  0.8182   6        NaN       NaN      NA           NA  
  0.591  0.8182   7        NaN       NaN      NA           NA  
  0.591  0.8182   8      0.794     0.588  0.0368       0.0736  
  0.591  0.8182   9      0.790     0.580  0.0352       0.0703  
  0.591  0.8182  10      0.781     0.561  0.0400       0.0799  
  0.591  0.8182  11      0.788     0.576  0.0382       0.0763  
  0.591  0.8182  12      0.791     0.581  0.0374       0.0748  
  0.591  0.9091   2        NaN       NaN      NA           NA  
  0.591  0.9091   3        NaN       NaN      NA           NA  
  0.591  0.9091   4        NaN       NaN      NA           NA  
  0.591  0.9091   5        NaN       NaN      NA           NA  
  0.591  0.9091   6        NaN       NaN      NA           NA  
  0.591  0.9091   7        NaN       NaN      NA           NA  
  0.591  0.9091   8      0.792     0.584  0.0430       0.0862  
  0.591  0.9091   9      0.791     0.581  0.0415       0.0834  
  0.591  0.9091  10      0.790     0.580  0.0460       0.0922  
  0.591  0.9091  11      0.798     0.596  0.0385       0.0770  
  0.591  0.9091  12      0.799     0.597  0.0402       0.0806  
  0.591  1.0000   2        NaN       NaN      NA           NA  
  0.591  1.0000   3        NaN       NaN      NA           NA  
  0.591  1.0000   4        NaN       NaN      NA           NA  
  0.591  1.0000   5        NaN       NaN      NA           NA  
  0.591  1.0000   6        NaN       NaN      NA           NA  
  0.591  1.0000   7        NaN       NaN      NA           NA  
  0.591  1.0000   8      0.799     0.597  0.0396       0.0793  
  0.591  1.0000   9      0.796     0.592  0.0420       0.0843  
  0.591  1.0000  10      0.806     0.611  0.0362       0.0726  
