Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.100  0.8182   7        NaN       NaN      NA           NA  
  0.100  0.8182   8      0.629     0.261  0.0261       0.0517  
  0.100  0.8182   9      0.642     0.286  0.0331       0.0660  
  0.100  0.8182  10      0.634     0.269  0.0359       0.0718  
  0.100  0.8182  11      0.634     0.270  0.0360       0.0720  
  0.100  0.8182  12      0.628     0.258  0.0406       0.0808  
  0.100  0.9091   2        NaN       NaN      NA           NA  
  0.100  0.9091   3        NaN       NaN      NA           NA  
  0.100  0.9091   4        NaN       NaN      NA           NA  
  0.100  0.9091   5        NaN       NaN      NA           NA  
  0.100  0.9091   6        NaN       NaN      NA           NA  
  0.100  0.9091   7        NaN       NaN      NA           NA  
  0.100  0.9091   8      0.635     0.272  0.0265       0.0524  
  0.100  0.9091   9      0.641     0.285  0.0351       0.0700  
  0.100  0.9091  10      0.637     0.277  0.0364       0.0728  
  0.100  0.9091  11      0.633     0.268  0.0345       0.0688  
  0.100  0.9091  12      0.632     0.266  0.0410       0.0815  
  0.100  1.0000   2        NaN       NaN      NA           NA  
  0.100  1.0000   3        NaN       NaN      NA           NA  
  0.100  1.0000   4        NaN       NaN      NA           NA  
  0.100  1.0000   5        NaN       NaN      NA           NA  
  0.100  1.0000   6        NaN       NaN      NA           NA  
  0.100  1.0000   7        NaN       NaN      NA           NA  
  0.100  1.0000   8      0.642     0.286  0.0302       0.0599  
  0.100  1.0000   9      0.643     0.289  0.0332       0.0657  
  0.100  1.0000  10      0.641     0.285  0.0391       0.0780  
  0.100  1.0000  11      0.632     0.267  0.0286       0.0572  
  0.100  1.0000  12      0.632     0.266  0.0331       0.0660  
  0.182  0.0000   2        NaN       NaN      NA           NA  
  0.182  0.0000   3        NaN       NaN      NA           NA  
  0.182  0.0000   4        NaN       NaN      NA           NA  
  0.182  0.0000   5        NaN       NaN      NA           NA  
  0.182  0.0000   6        NaN       NaN      NA           NA  
  0.182  0.0000   7        NaN       NaN      NA           NA  
  0.182  0.0000   8      0.625     0.252  0.0234       0.0469  
  0.182  0.0000   9      0.624     0.250  0.0365       0.0731  
  0.182  0.0000  10      0.621     0.243  0.0333       0.0668  
  0.182  0.0000  11      0.617     0.237  0.0417       0.0834  
  0.182  0.0000  12      0.620     0.242  0.0420       0.0842  
  0.182  0.0909   2        NaN       NaN      NA           NA  
  0.182  0.0909   3        NaN       NaN      NA           NA  
  0.182  0.0909   4        NaN       NaN      NA           NA  
  0.182  0.0909   5        NaN       NaN      NA           NA  
  0.182  0.0909   6        NaN       NaN      NA           NA  
  0.182  0.0909   7        NaN       NaN      NA           NA  
  0.182  0.0909   8      0.625     0.252  0.0234       0.0469  
  0.182  0.0909   9      0.624     0.251  0.0368       0.0739  
  0.182  0.0909  10      0.621     0.244  0.0330       0.0661  
  0.182  0.0909  11      0.617     0.237  0.0417       0.0834  
  0.182  0.0909  12      0.620     0.242  0.0420       0.0842  
  0.182  0.1818   2        NaN       NaN      NA           NA  
  0.182  0.1818   3        NaN       NaN      NA           NA  
  0.182  0.1818   4        NaN       NaN      NA           NA  
  0.182  0.1818   5        NaN       NaN      NA           NA  
  0.182  0.1818   6        NaN       NaN      NA           NA  
  0.182  0.1818   7        NaN       NaN      NA           NA  
  0.182  0.1818   8      0.625     0.252  0.0234       0.0469  
  0.182  0.1818   9      0.623     0.248  0.0379       0.0762  
  0.182  0.1818  10      0.621     0.244  0.0330       0.0661  
  0.182  0.1818  11      0.619     0.240  0.0411       0.0822  
  0.182  0.1818  12      0.621     0.243  0.0421       0.0846  
  0.182  0.2727   2        NaN       NaN      NA           NA  
  0.182  0.2727   3        NaN       NaN      NA           NA  
  0.182  0.2727   4        NaN       NaN      NA           NA  
  0.182  0.2727   5        NaN       NaN      NA           NA  
  0.182  0.2727   6        NaN       NaN      NA           NA  
  0.182  0.2727   7        NaN       NaN      NA           NA  
  0.182  0.2727   8      0.626     0.254  0.0236       0.0472  
  0.182  0.2727   9      0.624     0.251  0.0372       0.0747  
  0.182  0.2727  10      0.623     0.248  0.0315       0.0632  
  0.182  0.2727  11      0.621     0.245  0.0401       0.0803  
  0.182  0.2727  12      0.622     0.246  0.0411       0.0824  
